FIPS,COUNTYNAME,N1,A00100,A00200,A00900,A01000,A01700,A02300,A02500,A26270,A19300,A19700,A10300,A59660,N59660,A11070
30065,Musselshell County,2260,104998,69487,3956,8720,12787,3397,5926,2877,709,387,10269,757,320,452
30067,Park County,9710,666556,359448,23675,91108,46612,20721,23796,47813,6573,7101,87656,1799,1100,1140
30069,Petroleum County,210,8256,4655,175,2084,725,0,442,620,0,0,672,51,30,38
30071,Phillips County,1970,78911,57407,2332,10044,6998,1858,4409,2832,261,158,7483,606,300,432
30073,Pondera County,3060,121598,82531,5071,9298,11031,3793,5946,4906,373,1422,11369,1027,470,653
30075,Powder River County,810,35747,22179,1320,6792,3042,605,2065,-268,0,0,2977,224,110,158
30077,Powell County,3670,179124,91051,5548,10432,17842,3460,8097,5298,724,2544,22442,830,420,519
30079,Prairie County,540,25138,15746,527,2654,2680,443,1455,534,0,0,2267,132,70,128
30081,Ravalli County,23180,1565894,803611,55888,193878,179338,39899,75103,132555,18954,20082,197117,6567,3190,4057
30083,Richland County,5680,363416,283479,8002,14866,15080,9973,11657,22540,1963,3022,43404,1324,610,916
30085,Roosevelt County,4310,179370,146785,4184,10088,12645,4377,7426,6045,325,1204,17149,2852,1120,1709
30087,Rosebud County,3850,205968,156174,2857,7314,21650,4188,10492,1291,479,752,18840,1637,720,1126
30089,Sanders County,5940,286020,161310,13318,26234,46188,11232,18137,16739,2413,3296,27819,2034,940,1271
30091,Sheridan County,1760,95534,58045,2117,5855,6924,2099,5023,8420,182,369,10735,512,220,367
30093,Silver Bow County,17560,999245,666944,20218,42222,101123,34086,45305,49357,5978,6139,105162,5043,2630,2917
30095,Stillwater County,4740,338878,217169,6069,29471,29421,7603,15264,13113,3147,2591,39050,899,460,570
30097,Sweet Grass County,1860,117856,65697,3758,19851,11069,1521,5405,4965,835,1184,13520,413,210,329
30099,Teton County,3130,155767,88895,9343,12544,13608,2547,8065,6333,560,1256,15544,827,360,666
30101,Toole County,2580,111314,72945,1817,5630,8854,2553,5101,2209,291,386,11943,688,280,430
30103,Treasure County,350,16937,10619,197,1251,1636,0,997,246,0,0,1612,100,50,72
30105,Valley County,3670,211047,136020,3366,19561,18109,3927,10092,15787,967,1319,22375,1052,480,782
30107,Wheatland County,1020,41197,23808,844,6878,3870,1049,2270,1733,0,0,4044,289,140,212
30109,Wibaux County,450,20739,15128,495,1995,1834,479,1060,321,0,0,1867,112,50,81
